timestamp,evento
0,Cambio di stato: da States.NULLO a States.TRATTATIVA
0,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
0,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
1806,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
2044,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
2679,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
3735,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
5047,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
5948,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
7804,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
8725,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
9681,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
10609,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
11525,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
12753,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
14946,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
15894,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
17056,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
17121,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
17310,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
18775,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
19245,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
19260,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
19264,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
20795,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
21696,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
21880,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
22878,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
24505,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
25442,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
25988,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
