timestamp,mittente,mittente_interc,destinatario,destinatario_interc,durata,tipo
0,6,S,11,N,430,V
877,7,S,6,S,0,S
1623,6,S,7,S,0,S
0,8,S,6,S,117,V
0,9,S,12,S,317,V
0,10,S,13,S,45,V
0,4,S,13,S,488,V
0,5,N,13,S,883,V
641,11,N,6,S,0,S
1246,6,S,11,N,0,S
0,14,S,6,S,123,V
0,15,S,9,S,874,V
0,6,S,11,N,331,V
0,6,S,11,N,91,V
0,6,S,13,S,328,V
255,3,N,12,S,555,V
326,8,S,13,S,63,V
536,14,S,2,N,62,V
701,2,N,12,S,78,V
953,5,N,13,S,0,S
1374,13,S,5,N,0,S
1314,7,S,11,N,813,V
1395,15,S,12,S,407,V
1616,14,S,9,S,511,V
1765,13,S,3,N,396,V
2127,7,S,11,N,365,V
2127,7,S,8,S,775,V
2127,7,S,9,S,606,V
2127,8,S,11,N,798,V
3306,15,S,8,S,775,V
3463,8,S,11,N,0,S
3971,11,N,8,S,0,S
3359,14,S,6,S,126,V
3359,6,S,11,N,893,V
3669,12,S,5,N,796,V
3959,13,S,4,S,392,V
3999,1,N,7,S,129,V
3999,7,S,11,N,695,V
5275,14,S,12,S,0,S
5889,12,S,14,S,0,S
6280,14,S,12,S,0,S
6745,12,S,14,S,0,S
4737,10,S,13,S,751,V
5256,14,S,8,S,0,S
5361,8,S,14,S,0,S
5532,14,S,8,S,0,S
6244,8,S,14,S,0,S
6657,14,S,8,S,0,S
4908,8,S,11,N,225,V
5454,15,S,12,S,631,V
5833,14,S,12,S,522,V
6032,13,S,3,N,436,V
6925,0,N,7,S,835,V
6925,7,S,11,N,72,V
7711,14,S,12,S,0,S
8446,12,S,14,S,0,S
7666,15,S,12,S,697,V
7900,14,S,5,N,184,V
7999,12,S,3,N,591,V
8899,14,S,9,S,897,V
9287,15,S,10,S,836,V
9777,12,S,2,N,271,V
9865,9,S,12,S,507,V
10390,14,S,9,S,434,V
10787,13,S,3,N,573,V
10796,0,N,9,S,9,V
10816,10,S,13,S,418,V
10928,15,S,13,S,464,V
12430,14,S,8,S,450,V
12430,8,S,11,N,801,V
12794,15,S,12,S,86,V
12807,12,S,5,N,238,V
12960,10,S,13,S,164,V
13734,15,S,8,S,0,S
14409,8,S,15,S,0,S
13428,8,S,11,N,244,V
13615,15,S,2,N,397,V
13634,0,N,8,S,470,V
14341,15,S,8,S,264,V
15231,8,S,11,N,0,S
15765,11,N,8,S,0,S
15947,8,S,11,N,0,S
16719,11,N,8,S,0,S
17162,8,S,11,N,0,S
15249,14,S,12,S,0,S
15581,12,S,14,S,0,S
15631,14,S,12,S,0,S
14776,12,S,2,N,463,V
14797,15,S,10,S,707,V
15218,14,S,2,N,512,V
15830,15,S,13,S,27,V
16197,0,N,10,S,415,V
16477,15,S,9,S,0,S
16929,9,S,15,S,0,S
17180,15,S,9,S,0,S
16713,14,S,12,S,117,V
17112,15,S,13,S,328,V
17304,13,S,5,N,861,V
18031,12,S,3,N,459,V
18111,14,S,3,N,719,V
18256,15,S,9,S,252,V
18635,13,S,2,N,362,V
18877,10,S,13,S,657,V
19114,15,S,2,N,887,V
19472,14,S,7,S,389,V
19472,7,S,11,N,190,V
19936,0,N,8,S,736,V
19936,8,S,11,N,878,V
20065,9,S,8,S,389,V
20711,8,S,11,N,0,S
21397,11,N,8,S,0,S
22031,15,S,13,S,0,S
22073,13,S,15,S,0,S
22412,15,S,13,S,0,S
23235,13,S,15,S,0,S
23684,15,S,13,S,0,S
21628,14,S,12,S,94,V
21643,13,S,3,N,452,V
21847,15,S,13,S,470,V
22416,12,S,2,N,665,V
22478,14,S,10,S,193,V
23264,14,S,6,S,0,S
23654,6,S,14,S,0,S
24404,14,S,6,S,0,S
24967,6,S,14,S,0,S
25013,14,S,6,S,0,S
22824,6,S,11,N,0,S
23081,11,N,6,S,0,S
23719,6,S,11,N,0,S
23074,14,S,5,N,686,V
23416,15,S,13,S,190,V
25440,14,S,8,S,0,S
25548,8,S,14,S,0,S
26160,14,S,8,S,0,S
26602,8,S,14,S,0,S
26647,14,S,8,S,0,S
27240,8,S,14,S,0,S
25259,8,S,11,N,486,V
25326,15,S,2,N,473,V
25777,0,N,7,S,158,V
26555,7,S,11,N,0,S
26914,11,N,7,S,0,S
25919,14,S,9,S,655,V
26106,15,S,9,S,645,V
26489,12,S,4,S,400,V
26747,14,S,5,N,71,V
26816,9,S,6,S,0,S
26944,6,S,9,S,0,S
26814,6,S,11,N,221,V
27948,14,S,12,S,590,V
28119,15,S,8,S,650,V
28119,8,S,11,N,287,V
30497,15,S,5,N,0,S
30863,5,N,15,S,0,S
31666,15,S,5,N,0,S
31755,5,N,15,S,0,S
32525,15,S,5,N,0,S
30309,14,S,6,S,244,V
30309,6,S,11,N,578,V
30817,13,S,5,N,124,V
31108,14,S,12,S,780,V
31396,15,S,12,S,131,V
31402,13,S,4,S,287,V
32030,12,S,4,S,0,S
32643,4,S,12,S,0,S
32969,12,S,4,S,0,S
31752,9,S,12,S,234,V
32566,14,S,9,S,91,V
33904,13,S,4,S,0,S
34494,4,S,13,S,0,S
34791,13,S,4,S,0,S
33172,15,S,12,S,879,V
33316,14,S,9,S,546,V
33958,13,S,2,N,606,V
34197,9,S,7,S,64,V
34197,7,S,11,N,326,V
35149,14,S,13,S,463,V
35541,15,S,5,N,850,V
36498,12,S,2,N,601,V
37346,14,S,7,S,0,S
38130,7,S,14,S,0,S
36774,7,S,11,N,34,V
37021,15,S,9,S,590,V
37282,14,S,13,S,684,V
37416,13,S,4,S,99,V
38101,15,S,7,S,447,V
38101,7,S,11,N,401,V
38163,12,S,5,N,76,V
38433,14,S,7,S,599,V
38645,7,S,11,N,0,S
38705,11,N,7,S,0,S
39188,7,S,11,N,0,S
38700,0,N,9,S,555,V
40013,14,S,13,S,488,V
40311,15,S,8,S,281,V
40311,8,S,11,N,883,V
41080,9,S,12,S,0,S
41294,12,S,9,S,0,S
41022,0,N,10,S,237,V
42335,14,S,3,N,0,S
43001,3,N,14,S,0,S
43579,14,S,3,N,0,S
41918,12,S,2,N,29,V
42112,1,N,6,S,461,V
42176,13,S,3,N,128,V
42207,15,S,9,S,839,V
42234,10,S,13,S,160,V
42990,14,S,2,N,0,S
43062,2,N,14,S,0,S
43305,14,S,2,N,0,S
43441,2,N,14,S,0,S
43917,14,S,2,N,0,S
44027,2,N,14,S,0,S
43485,14,S,3,N,86,V
43636,15,S,13,S,112,V
44338,15,S,5,N,752,V
44615,9,S,7,S,495,V
44615,7,S,11,N,151,V
44688,14,S,12,S,341,V
